# Load-bearing behaviours that must not be lost to a later edit.
# Each row asserts a rule still lives somewhere in the plugin.
#
# Two kinds of origin:
#   - a deleted source (CLAUDE.md, fable-mode) whose behaviour we absorbed, where
#     no original is left to diff against;
#   - `audit`, for rules added to close a defect found in review, where the whole
#     point is that the defect stays closed.
#
#
# Rule 0b — a pin retires on the same evidence that removes the text it pins.
#
# Rule 0 says pin before you cut, and pin inflation is Rule 0's own failure mode:
# pins already blanket ~70% of the output style, every compression phase adds
# more, and a ratchet with no downward pawl makes these two files the largest
# incompressible surface in the repository inside ten releases.
#
# So a row comes out only when (a) its provenance commit has been read and the
# documented failure it answers no longer reproduces under the Rule 1 pressure
# test, or (b) its upstream justification is documented as reversed — the pattern
# LIMITATIONS.md already records for the designer-temperature entry (c7690923).
# Same evidence to remove a pin as to cut pinned text. Never less.
#
# Checked by scripts/check-coverage.sh. Patterns are FIXED SUBSTRINGS, not regex.
# Whitespace is normalised first, so line-wrapped prose still matches.
#
# origin	rule	where	pattern
ponytail	mark-deliberate-ceilings	simplify	Mark any ceiling you deliberately leave
audit	no-coverage-means-no-evidence	simplify	a green suite proves nothing
audit	pin-behaviour-before-simplifying	simplify	run it against the **original**
audit	stdlib-swap-edge-cases	simplify	silently changes behaviour
audit	deleting-a-feature-is-not-simplify	simplify	is a product decision and not yours
audit	named-principles	simplify/principles.md	## Principles by name
audit	dry-of-knowledge	simplify/principles.md	of knowledge, not of characters
audit	dry-yagni-tiebreaker	simplify/principles.md	the tiebreaker is the rule of three
audit	linear-flow	simplify/principles.md	code should read top to bottom
audit	modularity	simplify/principles.md	dependencies pointing one way
audit	brave-about-size	simplify	Be brave about size, never about safety
audit	refactor-across-files	simplify	as many files as the problem actually spans
audit	finish-the-deletion	simplify	Finish the deletion
audit	name-blast-radius	simplify	blast radius stated
audit	abstraction-pays-rent-now	simplify	pays rent when a second
audit	exported-wrapper-is-api	simplify	deleting it is an API change
gstack	diff-against-merge-base	review	merge-base
gstack	fetch-base-first-or-phantom-findings	review	stale base = phantom findings
gstack	base-branch-resolution-cascade	review	then `origin/HEAD`, then `main`, then `master`
gstack	read-whole-diff-before-flagging	review	Read the whole diff before flagging
gstack	intent-before-quality	review	Scope creep
gstack	deliverable-not-the-machinery	review	handles a deliverable is not the deliverable
gstack	enum-completeness-outside-diff	review/checklists.md	one lane that reads outside the diff
gstack	quote-the-code-gate	review	Quote the code, or you do not have a finding
gstack	no-gaming-the-quote-gate	review	do not invent a higher confidence
gstack	framework-declares-elsewhere	review	quote the construct that *creates* the symbol
gstack	symmetric-burden-on-clearance	review	not a finding *and not a clearance*
# RETIRED 2026-08-25 — owner reversed the suppression rule; low-confidence findings
# now route to Open questions instead of being deleted. See review-confidence-routing.
# gstack	confidence-controls-display	review	5 or below do not report at all
gstack	critical-survives-low-confidence	review	survives at any confidence
gstack	lane-triggers-by-scope	review	Runs when
gstack	auth-scope-is-size-independent	review	at any size
gstack	size-picks-who-runs-the-lane	review	roughly 50 changed lines
gstack	dispatch-lanes-in-one-message	review	in parallel, in one message
gstack	report-lanes-that-did-not-run	review	which did not, with the reason
gstack	adversarial-pass-always	review	one adversarial pass, always
gstack	loc-is-not-risk	review	not a proxy for risk
gstack	adversarial-told-what-others-found	review	told what the lanes already found
gstack	fix-first-mechanical	review	Fix directly
gstack	critical-asks-mechanical-fixes	review	Critical findings lean towards asking
gstack	batch-asks-into-one-question	review	Batch every ask into **one** question
gstack	review-never-publishes	review	Never commit, push or open a PR
gstack	suppression-list	review/checklists.md	Do not flag
# RETIRED 2026-08-25 — same reversal as confidence-controls-display above.
# code-review-official	confidence-threshold-suppresses	review	do not report at all
addy	approve-on-net-improvement	review	definitely improves the health
addy	no-blocking-on-taste	review	not how you would have written it
addy	sycophancy-is-a-failure	review	Sycophancy is the other failure
addy	review-tests-first	review	Read the tests first
addy	changed-test-means-changed-behaviour	review	A test that had to change is a behaviour change
addy	propose-the-move	review	Propose the move, not just the problem
addy	remedy-removes-moving-pieces	review	removes moving pieces
addy	structural-problem-outranks-nits	review	One structural problem beats ten nits
addy	security-before-style	review	read before style
addy	ai-code-more-scrutiny	review	more scrutiny, not less
addy	dependency-one-at-a-time	review/checklists.md	one dependency change at a time
addy	semver-is-a-promise	review/checklists.md	promise the maintainer may not have kept
addy	llm-output-is-a-trust-boundary	review/checklists.md	model output
addy	permissions-in-code-not-prompt	review/checklists.md	enforced in code, not in the prompt
addy	measure-before-optimising	review/performance.md	Optimise only what a measurement proves
addy	never-fabricate-metrics	review/checklists.md	Never state a number you did not observe
addy	potential-vs-measured	review/checklists.md	*potential* impact
addy	fixed-budget-re-measure	review/performance.md	same fixed budget
addy	cache-state-asymmetry	review/performance.md	measures the cache, not your change
addy	one-optimisation-at-a-time	review/performance.md	One change at a time
addy	beat-the-noise-not-the-mean	review/performance.md	Beat the noise, not the mean
addy	neutral-is-a-revert	review/performance.md	"Neutral" is a revert, not a keep
addy	correctness-gates-the-number	review/performance.md	Correctness gates the number
addy	optimisation-ledger	review/performance.md	including the ones you reverted
addy	wrong-stack-advice-forbidden	review/checklists.md	Fit the advice to the actual stack
addy	over-memoisation-is-a-defect	review/checklists.md	over-memoisation costs more than it saves
addy	project-budget-overrides-defaults	review/performance.md	overrides every number here
omc	no-self-approval-same-context	review	cannot do to yourself
omc	no-self-approval-orchestrator	output-styles	the step you cannot do to yourself
omc	do-not-pre-filter-during-discovery	review	Filter at the end, never while looking
omc	soft-filter-is-ranking-guidance	review	not permission to look less hard
omc	pre-commitment-predictions	review	First, predict
omc	hunting-mode-bias-check	review	found momentum and are now hunting
omc	downgrade-needs-mitigation	review	Every downgrade names what mitigates it
omc	downgrade-floor	review	never get downgraded
omc	author-could-refute	review	refute this in one sentence
omc	no-manufactured-findings	review	Inventing a problem to look thorough
omc	verdict-from-confident-findings	review	worst finding you are confident about
omc	security-severity-is-a-product	review	exploitability
omc	ask-what-is-absent	review	Ask what is absent
omc	do-not-stop-at-first-findings	review	do not stop at the first few findings
omc	stale-evidence-is-not-evidence	review	Evidence has a shelf life
omc	compiles-is-not-correct	review	says the code compiles, not that it does what was asked
omc	hedge-words-are-not-results	review	*probably*, is a claim, not a result
omo-slim	re-review-cap	review	at most two re-reviews
omo-slim	re-review-scoped-to-unresolved	review	does not reopen concerns already accepted
omo-slim	no-polish-for-its-own-sake	review	polishing because polishing is possible
omo-slim	findings-in-final-message	review	in its final message
audit	route-simplify-not-inline	review	hand it to `omc-slim:simplify`
audit	skip-unchanged-tree	review	Re-reviewing an unchanged tree
audit	must-read-checklists	review	Read `checklists.md` now
audit	performance-lane-precondition	review	applied or accepted, **open `performance.md`
audit	severity-vs-mechanicalness	review	severity decides whether the *decision* is yours
audit	finding-vs-change-measurement	review/performance.md	bars unmeasured *changes*, not unmeasured *findings*
audit	read-project-rules-first	review	Read the project's own rules first
audit	survey-both-scopes	review	in both scopes
audit	toolsearch-reaches-deferred	review	an unsearched tool is invisible, not absent
audit	prefer-stack-specific-specialist	review	prefer a specialist built for this stack
audit	cite-the-source-gate	review	Cite the source, or you do not have a claim
audit	external-claims-never-recalled	review	never recalled
audit	remedy-checked-against-current	review	The remedy gets the same rigour as the finding
audit	prior-art-before-bespoke	review	look for prior art
audit	always-on-lane-reports-nothing	review	An always-on lane that found nothing
wait-what	simplified-technical-english	output-styles	Simplified Technical English (ASD-STE100)
wait-what	one-idea-per-sentence	output-styles	One idea per sentence
wait-what	active-voice-named-actor	output-styles	name who does what
caveman	lite-keeps-grammar	output-styles	complete sentences and ordinary grammar
wait-what	hard-sentence-ceiling	output-styles	at most twenty-five words
eli5	close-with-what-now	output-styles	what the user does next
eli5	evidence-in-the-close	output-styles	never a claim
eli5	three-options-at-most	output-styles	at most three options
eli5	narrowing-is-your-job	output-styles	which one you would pick
audit	comment-volume-is-a-smell	simplify	Comment volume is its own smell
audit	stale-comment-contradiction	simplify	Comment that contradicts the code
audit	narration-comments	simplify	The tell of generated code
audit	redundant-docstring	simplify	Docstring repeating the signature
audit	banner-and-attribution-comments	simplify	git owns history
audit	completed-todo-comments	simplify	naming work already done
audit	comment-is-a-fence	simplify	A comment is a fence too
audit	stale-comment-detection	review/checklists.md	or contradicting it
audit	scope-cut-is-a-gate	deepwork	An assumption that shrinks the deliverable is a question
audit	set-shaped-work-closes-by-diff	deepwork	Set-shaped work closes by diffing the set
audit	second-search-corroborates-set	deepwork	differently shaped search
audit	review-the-set-not-the-diff	review	review the set, not the diff
audit	missed-member-absent-from-diff	review	absent from the diff by definition
audit	completeness-lane-generalised	review/checklists.md	A member the change forgot is not in the diff
audit	enumerate-from-goal-not-old-impl	review/checklists.md	from the goal, not from the old implementation
audit	fixer-canonical-example-is-the-spec	output-styles	match the nearest existing pattern
audit	fixer-do-not-reopen-closed-bug	output-styles	fix causes not symptoms
# ballast (svy04) — a memory/verification plugin. Five rules fit a delegation
# plugin; the memory tree, skill-forge and the label taxonomy were refused.
ballast	constraints-dont-travel	output-styles	the specialist sees only the brief
ballast	progress-file-dead-ends	deepwork	what was tried and failed
ballast	next-first-action-is-executable	deepwork	executable without reading anything but this file
ballast	zero-context-executor	verification-planning	receives it and nothing else
# aniruddha-adhikary/skills — a Joern/CPG static-analysis pack. Four rules fit a
# delegation plugin; the CPG domain, a second hook and its publication boundary
# were refused.
ani-skills	vacuous-pass-is-not-a-pass	output-styles	Read the count, not the colour
ani-skills	vacuous-check-counts-its-inputs	verification-planning	looks exactly like a check that passed
ani-skills	empty-search-needs-a-known-positive	verification-planning	run that same search for something you know is there
ani-skills	dead-is-a-claim-about-a-search	simplify	is a claim about your search
# tim-hub/powerball-harness — a Go Plan/Work/Review harness in a plugin wrapper.
# Its own benchmark measures a prompt instruction, not the binary, so the
# doctrine transferred and the 46k lines of Go did not. Five rules fit; the
# residue manifest, the memory tree and its state directory were refused.
powerball	bugfix-ships-its-reproduction	output-styles	against the unfixed code
powerball	tolerated-red-check-is-unread	verification-planning	a check you have stopped reading
powerball	new-guard-proved-against-known-bad	verification-planning	run it against a state where the fault existed
# obra/superpowers — a 14-skill agentic framework, read whole at b36e0829.
# Its roster has been frozen at 14 for eight months while skill bytes grew 75%,
# which is this plugin's cost model reached independently. So rules came over and
# surface did not: no new skill, no new agent, no hook. Five rules fit; the
# scratch workspace, the dead pre-commit config, the control-free behavioural
# eval and the cross-platform manifests were refused.
superpowers	brief-with-evidence-not-verdict	review	Brief a lane with evidence, never with a verdict
superpowers	brief-with-evidence-not-verdict	deepwork	evidence, never a verdict
superpowers	readonly-does-not-move-git-state	explorer	they discard uncommitted work that is not yours
superpowers	readonly-does-not-move-git-state	tracer	they discard uncommitted work that is not yours
superpowers	deleting-config-selects-the-default	simplify	Deleting a config key selects the default
superpowers	rebuttal-relocates-never-vanishes	simplify	An argument that defends a rule moves
superpowers	change-not-live-in-this-session	verification-planning	not live in the session that made them
audit	exemption-scopes-length-only	output-styles	exempts length, and nothing else
audit	safety-never-simplified-away	output-styles	Never simplified away
audit	no-context-anxiety	output-styles	manage the context window
research	review-pre-existing-is-a-flag	review	Pre-existing is a flag, not a level
research	review-fix-as-verification	review	drop it from the list and carry the count
research	review-nit-cap	review	Report at most five nits
research	review-verdict-excludes-pre-existing	review	does not set the verdict
research	review-prepared-diff-file	review	a path to a prepared diff file
research	review-lane-decorrelation	review/checklists.md	Decorrelating lanes by evidence source
research	review-history-lane	review/checklists.md	re-opens a bug someone already fixed
research	simplify-public-entrypoint-gate	simplify	If yes, it does not come out
research	simplify-bias-to-false-negatives	simplify	grep the bare symbol name
research	simplify-introducing-commit	simplify	Blame the *introducing* commit
research	simplify-shallow-clone-trap	simplify	A shallow clone
research	simplify-rename-trap	simplify	Refuse the citation
research	simplify-green-tests-insufficient	simplify	you have not verified the deletion
research	deepwork-consumes-produces	deepwork	Give every lane a `Consumes:` / `Produces:` block
research	deepwork-preflight-rows	deepwork	is not a scan you ran
research	deepwork-rulings-not-stalls	deepwork	Rulings, not stalls
research	deepwork-fan-out-floor	deepwork	do not fan out when the work is coupled
research	deepwork-show-the-map	deepwork	Show the map before you execute it
research	deepwork-conditional-structure-scan	deepwork	when the phase moved structure
research	verification-prove-the-fixture	verification-planning	Prove the arranged input
research	verification-revert-and-rerun	verification-planning	Revert and re-run
research	verification-structural-red	verification-planning	Structural red is not behavioural red
research	explorer-positive-control	explorer	Prove the instrument before you report a negative
research	explorer-search-funnel	explorer	Open wide, then narrow
research	explorer-cap-yields-to-completeness	explorer	The cap does not apply to an enumeration
research	tracer-categories-differ-in-kind	tracer	They must differ in kind, not in detail
research	tracer-predeclare-falsifiers	tracer	what would confirm and what would falsify each one
research	tracer-undetermined-verdict	tracer	is not `ruled out`
research	librarian-conditional-web-pass	librarian	That is a condition, not a ritual
research	librarian-silent-disk	librarian	Disk can be silent rather than empty
research	codemap-cite-symbols	codemap	Cite symbols, never line numbers
research	deep-interview-files-and-interfaces	deep-interview	## Files and interfaces
research	deep-interview-gate-is-measured	deep-interview	That is now measured
research	deep-interview-score-is-not-the-gate	deep-interview	It does not decide whether to build
research	explorer-turn-budget	explorer	maxTurns: 100
research	explorer-open-wide-then-narrow	explorer	`rg -n` only once you know which files matter
research	explorer-ast-grep-when-present	explorer	ast-grep` answers those and `Grep` cannot
research	compaction-eviction-risk	docs/LIMITATIONS.md	30% on average after compaction
research	env-tool-search	README.md	ENABLE_TOOL_SEARCH
research	env-subagent-cache-ttl	README.md	subagentPromptCacheTtl
research	keep-cut-audit-applied	docs/RESEARCH-2026-08-26.md	The keep/cut audit, applied
audit	fixer-grep-every-caller	output-styles	read every caller first
audit	size-ladder	output-styles	Four rules size everything
audit	size-content-override	output-styles	the only self-escalator
audit	small-owes-one-check	output-styles	No plan, no review, no dispatch
audit	comments-are-last-resort	output-styles	You write zero comments
audit	review-delete-added-narration	review/checklists.md	Delete them; git owns history
audit	simplify-conversational-comment	simplify	A conversation, not a comment
audit	no-tooling-is-a-question	output-styles	No tooling is a question, not a gap to fill
audit	ask-before-first-check	output-styles	ask before building the first check
audit	vp-no-commands-ask	verification-planning	never specifies a runner the user has not chosen
audit	cost-follows-demand	output-styles	Cost follows demand
audit	correctness-then-cost	output-styles	correctness first, then cost
audit	interview-is-offered-not-run	output-styles	run it only on a yes
audit	question-never-interviewed	output-styles	A question is answered, never interviewed
audit	named-skill-is-the-budget	output-styles	demand is the budget
audit	offers-not-silent-dispatch	output-styles	Never silently dispatch
audit	scaled-preflight-questions	output-styles	what full set does the request imply
audit	review-self-run-covers-lanes	review	A self-run covers the lanes, never the verdict
audit	resize-down-too	output-styles	work that shrinks re-sizes down
fable-mode	verify-before-flagging	oracle	Absence of evidence is not the finding
superpowers	readonly-does-not-move-git-state	oracle	they discard uncommitted work that is not yours
research	oracle-assigned-opposition	oracle	Argue the other side, as an assignment
research	oracle-one-pass-not-debate	oracle	One pass, not a debate
audit	rigor-never-scales-down	output-styles	Rigor never scales down
audit	blunt-no-flattery	output-styles	Be blunt with the person and brutal with the work
audit	deepwork-lane-brief-zero-comments	deepwork	Every writer lane's brief says: add zero comments
audit	three-shapes-never-written	output-styles	Three shapes are never yours to write
